symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
2436.T,共同ピーアール,スタンダード（内国株式）,1970-01-01,570.0,615.0,596.0,683.0,640.5,1.0
2437.T,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,1970-01-01,675.0,602.0,610.0,790.0,921.0,1.0
2438.T,アスカネット,グロース（内国株式）,1970-01-01,787.0,937.0,918.0,997.0,966.0,1.0
2440.T,ぐるなび,プライム（内国株式）,1970-01-01,332.0,363.0,356.0,408.0,440.0,1.0
2445.T,タカミヤ,プライム（内国株式）,1970-01-01,518.0,498.0,441.0,386.0,412.0,1.0
2449.T,プラップジャパン,スタンダード（内国株式）,1970-01-01,1080.0,1096.0,1000.0,979.0,1012.0,1.0
2453.T,ジャパンベストレスキューシステム,プライム（内国株式）,1970-01-01,719.0,695.0,770.0,861.0,713.0,1.0
2454.T,オールアバウト,スタンダード（内国株式）,1970-01-01,506.0,522.0,576.0,541.0,594.0,1.0
2459.T,アウンコンサルティング,スタンダード（内国株式）,1970-01-01,165.0,164.0,160.0,172.0,168.0,1.0
2461.T,ファンコミュニケーションズ,プライム（内国株式）,1970-01-01,395.0,399.0,411.0,439.0,410.0,1.0
2462.T,ライク,プライム（内国株式）,1970-01-01,1564.0,1667.0,1936.0,1996.0,2200.0,1.0
2464.T,ビジネス・ブレークスルー,プライム（内国株式）,1970-01-01,411.0,434.0,383.0,385.0,406.0,1.0
2468.T,フュートレック,スタンダード（内国株式）,1970-01-01,272.0,250.0,233.0,235.0,245.0,1.0
2469.T,ヒビノ,スタンダード（内国株式）,1970-01-01,1762.0,1716.0,1401.0,1415.0,1421.0,1.0
2471.T,エスプール,プライム（内国株式）,1970-01-01,491.0,586.0,627.0,924.0,1029.0,1.0
2475.T,ＷＤＢホールディングス,プライム（内国株式）,1970-01-01,2083.0,2140.0,2061.0,2300.0,2539.0,1.0
2477.T,手間いらず,プライム（内国株式）,1970-01-01,3360.0,3985.0,4960.0,5040.0,4720.0,1.0
2479.T,ジェイテック,グロース（内国株式）,1970-01-01,265.0,318.0,289.0,225.0,199.0,1.0
2480.T,システム・ロケーション,スタンダード（内国株式）,1970-01-01,1393.0,1356.0,1485.0,1553.0,1735.0,1.0
2481.T,タウンニュース社,スタンダード（内国株式）,1970-01-01,575.0,616.0,506.0,474.0,420.0,1.0
2483.T,翻訳センター,スタンダード（内国株式）,1970-01-01,1843.0,1690.0,1568.0,1513.0,1499.0,1.0
2484.T,出前館,スタンダード（内国株式）,1970-01-01,401.0,418.0,465.0,558.0,596.0,1.0
2485.T,ティア,スタンダード（内国株式）,1970-01-01,457.0,438.0,436.0,419.0,436.0,1.0
2487.T,ＣＤＧ,スタンダード（内国株式）,1970-01-01,1299.0,1361.0,1193.0,1159.0,1273.0,1.0
2488.T,ＪＴＰ,スタンダード（内国株式）,1970-01-01,958.0,1026.0,753.0,763.0,728.0,1.0
2489.T,アドウェイズ,プライム（内国株式）,1970-01-01,575.0,712.0,703.0,529.0,759.0,1.0
2491.T,バリューコマース,プライム（内国株式）,1970-01-01,1287.0,1427.0,1642.0,2086.0,2470.0,1.0
2492.T,インフォマート,プライム（内国株式）,1970-01-01,466.0,258.0,300.0,447.0,409.0,1.0
